pdf_filename,nanomaterial_types,nanomaterial_names,primary_nanomaterial,primary_nano_type,particle_size_nm,particle_size_range,zeta_potential_mV,pzc_value,tumor_types,primary_tumor_type,injection_methods,primary_injection_method,injection_dose_mg_kg,injection_frequency,ultrasound_frequency_MHz,ultrasound_power_W_cm2,treatment_time_min,treatment_sessions,ros_generation,cell_viability_percent,cell_death_percent,tumor_volume_mm3,has_size_data,has_zeta_data,has_ultrasound_data,has_ros_data,has_viability_data,has_volume_data,data_completeness_score
Complementing Cancer Photodynamic Therapy with Ferroptosis through Iron Oxide Loaded Porphyrin Grafted Lipid Nanoparticl.pdf,,,,,,,,,,,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,35.166666666666664,,,,14.571428571428571,,,,,,no,no,yes,no,no,no,1
Graphene quantum dot formulation for cancer imaging and redox-based drug delivery.pdf,nanocrystal,CuS,CuS,nanocrystal,,,,,cervical_cancer,cervical_cancer,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,,,,28.5,,69.0,,,,no,no,yes,yes,no,no,2
Glutathione-depleting nanoplatelets for enhanced sonodynamic cancer therapy.pdf,"nanoparticle, nanosheet, nanocrystal","SiO2, AuS",SiO2,nanoparticle,,,,,breast_cancer,breast_cancer,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,,1.0,,10.0,,,,,,no,no,yes,no,no,no,1
Bioorthogonal Guided Activation of cGAS-STING by AIE Photosensitizer Nanoparticles for Targeted Tumor Therapy and Imaging.pdf,"nanoparticle, nanocrystal",,,nanoparticle,,,,,lung_cancer,lung_cancer,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,,,,15.0,202305668.0,,,,,no,no,yes,no,no,no,1
O2-evolving and ROS-activable nanoparticles for treatment of multi-drug resistant Cancer by combination of photodynamic therapy and chemotherapy.pdf,"nanoparticle, nanocrystal",,,nanoparticle,,,,,,,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,5.0,,,,,,,,,,no,no,no,no,no,no,0
Phage-augmented casein nanocarriers for targeted bioimaging and enhanced= combinatorial therapy of triple-negative breast cancer.pdf,nanocrystal,,,nanocrystal,,,,,,,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,,,,5.0,,,,,,no,no,yes,no,no,no,1
nano-ultrasonic Contrast Agent for Chemoimmunotherapy of Breast Cancer by Immune Metabolism Reprogramming and Tumor Autophagy.pdf,"nanoparticle, nanocrystal",AuS,AuS,nanoparticle,,,,,breast_cancer,breast_cancer,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,2.67,2.0,169.25,2.0,8.833333333333334,3.3333333333333335,,,,,no,no,yes,no,no,no,1
Nanodrugs mediate TAMs-related arginine metabolism interference to  boost photodynamic immunotherapy.pdf,nanocrystal,,,nanocrystal,,,,,breast_cancer,breast_cancer,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,,,,10.666666666666666,4.0,,,,,no,no,yes,no,no,no,1
Monitoring ROS Responsive Fe3O4-based Nanoparticle Mediated Ferroptosis and Immunotherapy via 129Xe MRI.pdf,"nanoparticle, nanocrystal",Fe3O4,Fe3O4,nanoparticle,,,,,,,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,,,,,1.0,,,,,no,no,yes,no,no,no,1
Enhanced Cisplatin Chemotherapy by Iron Oxide Nanocarrier Mediated Generation of Highly Toxic Reactive Oxygen Species.pdf,nanocrystal,AuS,AuS,nanocrystal,,,,,,,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,,,,25.833333333333332,2.0,,,,,no,no,yes,no,no,no,1
Phage-augmented casein nanocarriers for targeted bioimaging and enhanced combinatorial therapy of triple-negative breast cancer..pdf,nanocrystal,,,nanocrystal,,,,,,,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,,,,5.0,,,,,,no,no,yes,no,no,no,1
Oxygen-Independent Synchronized ROS Generation and Hypoxia Prodrug Activation with Z-Scheme Heterostructure Sonosensitizer.pdf,nanocrystal,Ag2S,Ag2S,nanocrystal,,,,,,,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,,,,8.0,,,,,,no,no,yes,no,no,no,1
Engineering oxygen-deficient ZrO2-x nanoplatform as therapy-activated “immunogenic cell death (ICD)” inducer to synergize photothermal-augmented sonodynamic tumor elimination in NIR-II biological window.pdf,"nanoparticle, nanocrystal",ZrO2,ZrO2,nanoparticle,,,,,,,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,5.0,,1.0,0.8529411764705882,11.272727272727273,,,,,,no,no,yes,no,no,no,1
Biodegradable Hollow MoSe2 Fe3O4 Nanospheres as the Photodynamic Therapy-Enhanced Agent for Multimode CT MR IR Imaging and Synergistic Antitumor Therapy.pdf,nanocrystal,AuS,AuS,nanocrystal,,,,,,,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,,,,9.285714285714286,,,,,,no,no,yes,no,no,no,1
"NaCeF4:Gd,Tb Scintillator as an X-ray Responsive Photosensitizer for Multimodal Imaging-Guided Synchronous Radio Radiodynamic Therapy.pdf","nanoparticle, nanocrystal",,,nanoparticle,,,,,,,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,2.0,,,2.0,,,,,,no,no,yes,no,no,no,1
A nanodrug combining CD47 and sonodynamic therapy efficiently inhibits osteosarcoma deterioration.pdf,nanocrystal,,,nanocrystal,,,,,sarcoma,sarcoma,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,3.5,3.0,1.0,1.75,13.105263157894736,413.5,,,,,no,no,yes,no,no,no,1
Multifunctional tumor-targeted PLGA nanoparticles delivering Pt(IV) siBIRC5 for US MRI imaging and overcoming ovarian cancer resistance.pdf,"nanoparticle, nanocrystal",AuS,AuS,nanoparticle,,,,,ovarian_cancer,ovarian_cancer,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,,67.53333333333333,2.0,14.709677419354838,,,,,,no,no,yes,no,no,no,1
Ultrasmall Ternary FePtMn Nanocrystalswith Acidity-Triggered Dual-Ions Release and Hypoxia Relief for Multimodal SynergisticChemodynamic Photodynamic PhotothermalCancer Therapy.pdf,"nanoparticle, nanocrystal","CuO, CuS, AuS, AlN",CuO,nanoparticle,,,,,,,"intravenous, intraperitoneal, intratumoral, subcutaneous, intramuscular, intracardiac, intradermal",intravenous,,2.0,,,8.4,,2.0,,,,no,no,yes,yes,no,no,2
